"x","y","GID","200w_3C"
-124.4583333,42.79166693,1,0
-124.4583333,42.87500026,2,0
-124.375,42.45833361,3,-0.000751127605326474
-124.375,42.95833359,4,-0.0181965697556734
-124.375,43.04166692,5,-0.0177105460315943
-124.375,43.12500025,6,-0.0112704327329993
-124.375,43.20833358,7,-0.0048303185030818
-124.375,47.95833339,8,-0.0167879518121481
-124.2916667,40.54166702,9,-0.00639720726758242
-124.2916667,43.12500025,10,-0.0112704327329993
-124.2916667,43.20833358,11,-0.0048303185030818
-124.2083334,40.54166702,12,-0.0159791726619005
-124.2083334,40.62500035,13,-0.00993419624865055
-124.2083334,42.04166696,14,-0.0269130170345306
-124.2083334,42.12500029,15,-0.0254762172698975
-124.2083334,43.12500025,16,-0.0178382229059935
-124.2083334,43.29166691,17,-0.00909065641462803
-124.2083334,43.45833357,18,-0.005771120544523
-124.1250001,40.54166702,19,-0.0351431295275688
-124.1250001,40.87500034,20,-0.00163963390514255
-124.1250001,42.12500029,21,-0.0605392530560493
-124.1250001,42.20833362,22,-0.0653224661946297
-124.1250001,42.95833359,23,-0.0357691571116447
-124.1250001,43.04166692,24,-0.0339289754629135
-124.1250001,43.12500025,25,-0.0309738218784332
-124.1250001,43.20833358,26,-0.0280186645686626
-124.1250001,43.29166691,27,-0.0244019310921431
-124.1250001,43.37500024,28,-0.0201236270368099
-124.1250001,43.45833357,29,-0.0158453211188316
-124.0416668,40.54166702,30,-0.054307084530592
-124.0416668,43.12500025,31,-0.0441094189882278
-124.0416668,43.20833358,32,-0.0434775687754154
-124.0416668,43.37500024,33,-0.0328163653612137
-123.9583335,40.37500036,34,-0.100230790674686
-123.9583335,40.45833369,35,-0.0916352346539497
-123.9583335,43.79166689,36,-0.0265816766768694
-123.9583335,44.70833352,37,-0.00634887395426631
-123.9583335,44.79166685,38,-0.00621500704437494
-123.9583335,44.87500018,39,-0.00618605082854629
-123.9583335,47.20833342,40,-0.0337160415947437
-123.8750002,40.37500036,41,-0.128810152411461
-123.8750002,43.12500025,42,-0.073338694870472
-123.8750002,43.5416669,43,-0.0606304220855236
-123.8750002,44.12500021,44,-0.032096404582262
-123.8750002,44.70833352,45,-0.0189180579036474
-123.8750002,44.79166685,46,-0.0184999648481607
-123.8750002,45.12500017,47,-0.0193392597138882
-123.8750002,45.2083335,48,-0.0201169587671757
-123.8750002,45.29166683,49,-0.0200952794402838
-123.8750002,45.45833349,50,-0.0184531845152378
-123.8750002,45.70833348,51,-0.0148015962913632
-123.8750002,45.79166681,52,-0.014176718890667
-123.8750002,46.12500013,53,-0.0109262196347117
-123.7916669,42.37500028,54,-0.17187212407589
-123.7916669,43.5416669,55,-0.0843526721000671
-123.7916669,44.70833352,56,-0.0314872413873672
-123.7916669,44.79166685,57,-0.030784921720624
-123.7916669,45.37500016,58,-0.0320422053337097
-123.7916669,45.45833349,59,-0.0306804515421391
-123.7916669,45.54166682,60,-0.0289231315255165
-123.7916669,45.70833348,61,-0.024617362767458
-123.7916669,45.79166681,62,-0.0235822666436434
-123.7916669,47.12500009,63,-0.0605753138661385
-123.7083336,42.20833362,64,-0.206295013427734
-123.7083336,42.29166695,65,-0.207399427890778
-123.7083336,43.62500023,66,-0.102311939001083
-123.7083336,43.70833356,67,-0.097154900431633
-123.7083336,44.3750002,68,-0.0537983030080795
-123.7083336,44.62500019,69,-0.0524232722818851
-123.7083336,44.87500018,70,-0.048907570540905
-123.7083336,45.12500017,71,-0.0480047725141048
-123.7083336,45.45833349,72,-0.0414151810109615
-123.7083336,46.12500013,73,-0.0239638332277536
-123.7083336,46.70833344,74,-0.0504026114940643
-123.7083336,46.8750001,75,-0.0586507767438889
-123.7083336,47.04166676,76,-0.0679942891001701
-123.7083336,47.12500009,77,-0.0754779875278473
-123.6250003,40.95833367,78,-0.158879458904266
-123.6250003,42.12500029,79,-0.182364642620087
-123.6250003,42.20833362,80,-0.206562176346779
-123.6250003,42.29166695,81,-0.21798087656498
-123.6250003,43.37500024,82,-0.140435680747032
-123.6250003,43.62500023,83,-0.123832240700722
-123.6250003,44.3750002,84,-0.0813050717115402
-123.6250003,44.62500019,85,-0.0789161324501038
-123.6250003,44.79166685,86,-0.0736678019165993
-123.6250003,45.04166684,87,-0.0710322707891464
-123.6250003,45.12500017,88,-0.066922128200531
-123.6250003,45.87500014,89,-0.0359559953212738
-123.6250003,46.12500013,90,-0.0282657407224178
-123.6250003,46.37500012,91,-0.0325297228991985
-123.6250003,46.95833343,92,-0.0793062224984169
-123.6250003,47.04166676,93,-0.0845277085900307
-123.6250003,47.12500009,94,-0.0890179648995399
-123.541667,39.12500041,95,-0.0772236660122871
-123.541667,42.12500029,96,-0.172935113310814
-123.541667,42.45833361,97,-0.24770613014698
-123.541667,43.12500025,98,-0.165174230933189
-123.541667,43.20833358,99,-0.172899961471558
-123.541667,43.5416669,100,-0.152489691972733
-123.541667,43.62500023,101,-0.14535254240036
-123.541667,44.20833354,102,-0.109763763844967
-123.541667,44.3750002,103,-0.10881183296442
-123.541667,44.54166686,104,-0.110174790024757
-123.541667,44.62500019,105,-0.105408996343613
-123.541667,44.70833352,106,-0.100643195211887
-123.541667,45.04166684,107,-0.0937245115637779
-123.541667,45.12500017,108,-0.0858394876122475
-123.541667,45.87500014,109,-0.0410028286278248
-123.541667,45.95833347,110,-0.0406437702476978
-123.541667,46.12500013,111,-0.0325676500797272
-123.541667,46.37500012,112,-0.0379716865718365
-123.541667,46.95833343,113,-0.0962272211909294
-123.541667,47.04166676,114,-0.101061120629311
-123.541667,47.12500009,115,-0.102557942271233
-123.4583337,39.04166708,116,-0.0729938596487045
-123.4583337,39.12500041,117,-0.116376027464867
-123.4583337,39.62500039,118,-0.140440344810486
-123.4583337,39.70833372,119,-0.150549665093422
-123.4583337,42.37500028,120,-0.258639216423035
-123.4583337,42.45833361,121,-0.277246981859207
-123.4583337,42.7083336,122,-0.204278245568275
-123.4583337,42.87500026,123,-0.183867111802101
-123.4583337,42.95833359,124,-0.181229278445244
